Tim Robbins,The Shawshank Redemption
Morgan Freeman,The Shawshank Redemption
Bob Gunton,The Shawshank Redemption
William Sadler,The Shawshank Redemption
Marlon Brando,The Godfather
Al Pacino,The Godfather
James Caan,The Godfather
Diane Keaton,The Godfather
Christian Bale,The Dark Knight
Heath Ledger,The Dark Knight
Aaron Eckhart,The Dark Knight
Michael Caine,The Dark Knight
Al Pacino,The Godfather: Part II
Robert De Niro,The Godfather: Part II
Robert Duvall,The Godfather: Part II
Diane Keaton,The Godfather: Part II
Henry Fonda,12 Angry Men
Lee J. Cobb,12 Angry Men
Martin Balsam,12 Angry Men
John Fiedler,12 Angry Men
Elijah Wood,The Lord of the Rings: The Return of the King
Viggo Mortensen,The Lord of the Rings: The Return of the King
Ian McKellen,The Lord of the Rings: The Return of the King
Orlando Bloom,The Lord of the Rings: The Return of the King
John Travolta,Pulp Fiction
Uma Thurman,Pulp Fiction
Samuel L. Jackson,Pulp Fiction
Bruce Willis,Pulp Fiction
Liam Neeson,Schindler's List
Ralph Fiennes,Schindler's List
Ben Kingsley,Schindler's List
Caroline Goodall,Schindler's List
Leonardo DiCaprio,Inception
Joseph Gordon-Levitt,Inception
Elliot Page,Inception
Ken Watanabe,Inception
Brad Pitt,Fight Club
Edward Norton,Fight Club
Meat Loaf,Fight Club
Zach Grenier,Fight Club
Elijah Wood,The Lord of the Rings: The Fellowship of the Ring
Ian McKellen,The Lord of the Rings: The Fellowship of the Ring
Orlando Bloom,The Lord of the Rings: The Fellowship of the Ring
Sean Bean,The Lord of the Rings: The Fellowship of the Ring
Tom Hanks,Forrest Gump
Robin Wright,Forrest Gump
Gary Sinise,Forrest Gump
Sally Field,Forrest Gump
Clint Eastwood,"Il buono, il brutto, il cattivo"
Eli Wallach,"Il buono, il brutto, il cattivo"
Lee Van Cleef,"Il buono, il brutto, il cattivo"
Aldo Giuffrè,"Il buono, il brutto, il cattivo"
Elijah Wood,The Lord of the Rings: The Two Towers
Ian McKellen,The Lord of the Rings: The Two Towers
Viggo Mortensen,The Lord of the Rings: The Two Towers
Orlando Bloom,The Lord of the Rings: The Two Towers
Lilly Wachowski,The Matrix
Keanu Reeves,The Matrix
Laurence Fishburne,The Matrix
Carrie-Anne Moss,The Matrix
Robert De Niro,Goodfellas
Ray Liotta,Goodfellas
Joe Pesci,Goodfellas
Lorraine Bracco,Goodfellas
Mark Hamill,Star Wars: Episode V - The Empire Strikes Back
Harrison Ford,Star Wars: Episode V - The Empire Strikes Back
Carrie Fisher,Star Wars: Episode V - The Empire Strikes Back
Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back
Jack Nicholson,One Flew Over the Cuckoo's Nest
Louise Fletcher,One Flew Over the Cuckoo's Nest
Michael Berryman,One Flew Over the Cuckoo's Nest
Peter Brocco,One Flew Over the Cuckoo's Nest
Lin-Manuel Miranda,Hamilton
Phillipa Soo,Hamilton
Leslie Odom Jr.,Hamilton
Renée Elise Goldsberry,Hamilton
Kang-ho Song,Gisaengchung
Lee Sun-kyun,Gisaengchung
Cho Yeo-jeong,Gisaengchung
Choi Woo-sik,Gisaengchung
Suriya,Soorarai Pottru
Madhavan,Soorarai Pottru
Paresh Rawal,Soorarai Pottru
Aparna Balamurali,Soorarai Pottru
Matthew McConaughey,Interstellar
Anne Hathaway,Interstellar
Jessica Chastain,Interstellar
Mackenzie Foy,Interstellar
Kátia Lund,Cidade de Deus
Alexandre Rodrigues,Cidade de Deus
Leandro Firmino,Cidade de Deus
Matheus Nachtergaele,Cidade de Deus
Daveigh Chase,Sen to Chihiro no kamikakushi
Suzanne Pleshette,Sen to Chihiro no kamikakushi
Miyu Irino,Sen to Chihiro no kamikakushi
Rumi Hiiragi,Sen to Chihiro no kamikakushi
Tom Hanks,Saving Private Ryan
Matt Damon,Saving Private Ryan
Tom Sizemore,Saving Private Ryan
Edward Burns,Saving Private Ryan
Tom Hanks,The Green Mile
Michael Clarke Duncan,The Green Mile
David Morse,The Green Mile
Bonnie Hunt,The Green Mile
Roberto Benigni,La vita è bella
Nicoletta Braschi,La vita è bella
Giorgio Cantarini,La vita è bella
Giustino Durano,La vita è bella
Morgan Freeman,Se7en
Brad Pitt,Se7en
Kevin Spacey,Se7en
Andrew Kevin Walker,Se7en
Jodie Foster,The Silence of the Lambs
Anthony Hopkins,The Silence of the Lambs
Lawrence A. Bonney,The Silence of the Lambs
Kasi Lemmons,The Silence of the Lambs
Mark Hamill,Star Wars
Harrison Ford,Star Wars
Carrie Fisher,Star Wars
Alec Guinness,Star Wars
Tatsuya Nakadai,Seppuku
