title,year,rating,genre,director
The Shawshank Redemption,1994,80.0,Drama,Frank Darabont
The Godfather,1972,100.0,"Crime, Drama",Francis Ford Coppola
The Dark Knight,2008,84.0,"Action, Crime, Drama",Christopher Nolan
The Godfather: Part II,1974,90.0,"Crime, Drama",Francis Ford Coppola
12 Angry Men,1957,96.0,"Crime, Drama",Sidney Lumet
The Lord of the Rings: The Return of the King,2003,94.0,"Action, Adventure, Drama",Peter Jackson
Pulp Fiction,1994,94.0,"Crime, Drama",Quentin Tarantino
Schindler's List,1993,94.0,"Biography, Drama, History",Steven Spielberg
Inception,2010,74.0,"Action, Adventure, Sci-Fi",Christopher Nolan
Fight Club,1999,66.0,Drama,David Fincher
The Lord of the Rings: The Fellowship of the Ring,2001,92.0,"Action, Adventure, Drama",Peter Jackson
Forrest Gump,1994,82.0,"Drama, Romance",Robert Zemeckis
"Il buono, il brutto, il cattivo",1966,90.0,Western,Sergio Leone
The Lord of the Rings: The Two Towers,2002,87.0,"Action, Adventure, Drama",Peter Jackson
The Matrix,1999,73.0,"Action, Sci-Fi",Lana Wachowski
Goodfellas,1990,90.0,"Biography, Crime, Drama",Martin Scorsese
Star Wars: Episode V - The Empire Strikes Back,1980,82.0,"Action, Adventure, Fantasy",Irvin Kershner
One Flew Over the Cuckoo's Nest,1975,83.0,Drama,Milos Forman
Hamilton,2020,90.0,"Biography, Drama, History",Thomas Kail
Gisaengchung,2019,96.0,"Comedy, Drama, Thriller",Bong Joon Ho
Soorarai Pottru,2020,,Drama,Sudha Kongara
Interstellar,2014,74.0,"Adventure, Drama, Sci-Fi",Christopher Nolan
Cidade de Deus,2002,79.0,"Crime, Drama",Fernando Meirelles
Sen to Chihiro no kamikakushi,2001,96.0,"Animation, Adventure, Family",Hayao Miyazaki
Saving Private Ryan,1998,91.0,"Drama, War",Steven Spielberg
The Green Mile,1999,61.0,"Crime, Drama, Fantasy",Frank Darabont
La vita è bella,1997,59.0,"Comedy, Drama, Romance",Roberto Benigni
Se7en,1995,65.0,"Crime, Drama, Mystery",David Fincher
The Silence of the Lambs,1991,85.0,"Crime, Drama, Thriller",Jonathan Demme
Star Wars,1977,90.0,"Action, Adventure, Fantasy",George Lucas
Seppuku,1962,85.0,"Action, Drama, Mystery",Masaki Kobayashi
Shichinin no samurai,1954,98.0,"Action, Adventure, Drama",Akira Kurosawa
It's a Wonderful Life,1946,89.0,"Drama, Family, Fantasy",Frank Capra
Joker,2019,59.0,"Crime, Drama, Thriller",Todd Phillips
Whiplash,2014,88.0,"Drama, Music",Damien Chazelle
The Intouchables,2011,57.0,"Biography, Comedy, Drama",Olivier Nakache
The Prestige,2006,66.0,"Drama, Mystery, Sci-Fi",Christopher Nolan
The Departed,2006,85.0,"Crime, Drama, Thriller",Martin Scorsese
The Pianist,2002,85.0,"Biography, Drama, Music",Roman Polanski
Gladiator,2000,67.0,"Action, Adventure, Drama",Ridley Scott
American History X,1998,62.0,Drama,Tony Kaye
The Usual Suspects,1995,77.0,"Crime, Mystery, Thriller",Bryan Singer
Léon,1994,64.0,"Action, Crime, Drama",Luc Besson
The Lion King,1994,88.0,"Animation, Adventure, Drama",Roger Allers
Terminator 2: Judgment Day,1991,75.0,"Action, Sci-Fi",James Cameron
Nuovo Cinema Paradiso,1988,80.0,"Drama, Romance",Giuseppe Tornatore
Hotaru no haka,1988,94.0,"Animation, Drama, War",Isao Takahata
Back to the Future,1985,87.0,"Adventure, Comedy, Sci-Fi",Robert Zemeckis
Once Upon a Time in the West,1968,80.0,Western,Sergio Leone
Psycho,1960,97.0,"Horror, Mystery, Thriller",Alfred Hitchcock
Casablanca,1942,100.0,"Drama, Romance, War",Michael Curtiz
Modern Times,1936,96.0,"Comedy, Drama, Family",Charles Chaplin
City Lights,1931,99.0,"Comedy, Drama, Romance",Charles Chaplin
Capharnaüm,2018,75.0,Drama,Nadine Labaki
Ayla: The Daughter of War,2017,,"Biography, Drama, History",Can Ulkay
Vikram Vedha,2017,,"Action, Crime, Drama",Gayatri
Kimi no na wa.,2016,79.0,"Animation, Drama, Fantasy",Makoto Shinkai
Dangal,2016,,"Action, Biography, Drama",Nitesh Tiwari
Spider-Man: Into the Spider-Verse,2018,87.0,"Animation, Action, Adventure",Bob Persichetti
Avengers: Endgame,2019,78.0,"Action, Adventure, Drama",Anthony Russo
Avengers: Infinity War,2018,68.0,"Action, Adventure, Sci-Fi",Anthony Russo
Coco,2017,81.0,"Animation, Adventure, Family",Lee Unkrich
Django Unchained,2012,81.0,"Drama, Western",Quentin Tarantino
